idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
420,Alvarado ES,1,GE,2,-,3,0,1.5,1.5
420,Alvarado ES,1,GE,3,-,3,0,1,2
420,Alvarado ES,1,GE,4,-,1.5,0,0.5,1
420,Alvarado ES,1,GE,5,-,3,0,2,1
420,Alvarado ES,1,GE,6,-,3,0,2,1
420,Alvarado ES,1,GE,7,-,1.5,0,1,0.5
420,Alvarado ES,1,GE,9,-,1,0,1,0
420,Alvarado ES,1,GE,16,-,1,0,1,0
420,Alvarado ES,1,GE,18,-,1,0,1,0
420,Alvarado ES,1,GE,1,AA;,2,0,0,2
420,Alvarado ES,1,GE,2,AA;,2,0.5,0,1.5
420,Alvarado ES,1,GE,3,AA;,1.5,0.5,0,1
420,Alvarado ES,1,GE,10,AA;,1,0,1,0
420,Alvarado ES,1,GE,2,CT1;,1,0.5,0,0.5
420,Alvarado ES,1,GE,3,CT1;,2,0,2,0
420,Alvarado ES,1,GE,7,CT1;,1,0,1,0
420,Alvarado ES,1,GE,11,CT1;,1,0,1,0
420,Alvarado ES,2,GE,1,-,2,0,0,2
420,Alvarado ES,2,GE,2,-,4.5,0.5,1.5,2.5
420,Alvarado ES,2,GE,3,-,1.5,0,0.5,1
420,Alvarado ES,2,GE,4,-,5,0,3,2
420,Alvarado ES,2,GE,5,-,1,0,1,0
420,Alvarado ES,2,GE,6,-,1,0,0,1
420,Alvarado ES,2,GE,10,-,1,0,1,0
420,Alvarado ES,2,GE,33,-,1,0,1,0
420,Alvarado ES,2,GE,1,AA;,1,1,0,0
420,Alvarado ES,2,GE,2,AA;,1,0.5,0,0.5
420,Alvarado ES,2,GE,3,AA;,1,0,0,1
420,Alvarado ES,2,GE,4,AA;,1,0,1,0
420,Alvarado ES,2,GE,1,CT1;,1,1,0,0
420,Alvarado ES,2,GE,3,CT1;,1,0,1,0
420,Alvarado ES,3,GE,1,-,2.5,0.5,0,2
420,Alvarado ES,3,GE,2,-,2,0,1,1
420,Alvarado ES,3,GE,3,-,2,0,1,1
420,Alvarado ES,3,GE,4,-,1,0,1,0
420,Alvarado ES,3,GE,5,-,1,0,1,0
420,Alvarado ES,3,GE,6,-,1.5,0,1,0.5
420,Alvarado ES,3,GE,8,-,2,0,1,1
420,Alvarado ES,3,GE,9,-,1,0,1,0
420,Alvarado ES,3,GE,12,-,1,0,0,1
420,Alvarado ES,3,GE,16,-,1,0,0,1
420,Alvarado ES,3,GE,19,-,0,0,0,0
420,Alvarado ES,3,GE,1,AA;,1,0,0,1
420,Alvarado ES,3,GE,7,AA;,1,0,1,0
420,Alvarado ES,3,GE,10,AA;,1,1,0,0
420,Alvarado ES,3,GE,1,CT1;,1,1,0,0
420,Alvarado ES,3,GE,2,CT1;,1.5,0,1.5,0
420,Alvarado ES,3,GE,3,CT1;,2,0,2,0
420,Alvarado ES,3,GE,1,S;,1,1,0,0
420,Alvarado ES,4,GE,1,-,2,2,0,0
420,Alvarado ES,4,GE,2,-,2.5,1.5,1,0
420,Alvarado ES,4,GE,3,-,1,0,0,1
420,Alvarado ES,4,GE,4,-,2,1,1,0
420,Alvarado ES,4,GE,5,-,2,0,2,0
420,Alvarado ES,4,GE,6,-,2,0,1,1
420,Alvarado ES,4,GE,9,-,1,0,1,0
420,Alvarado ES,4,GE,10,-,1.5,0,1.5,0
420,Alvarado ES,4,GE,16,-,1,0,1,0
420,Alvarado ES,4,GE,29,-,1,0,1,0
420,Alvarado ES,4,GE,2,AA;,1,0,1,0
